Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
RAIL3,22.79,74.13,4.4,5.167,"0,00%",1.004,22.98,18.44,-1.6,24.5,12.97,"28,02%","7,06%",1.47,"6,07%","5,93%",195353000,8081230000,1.84,"14,40%"
ALSO3,27.43,75.33,1.11,8.303,"0,00%",0.667,4.75,15.99,-4.59,12.76,9.37,"51,94%","14,34%",9.03,"4,83%","1,48%",63432300,6548200000,0,"22,56%"
CTPC3,0.2,76.36,1.08,0,"0,00%",0.097,0,-16.86,0,-18.75,-18.75,"0,00%","0,00%",0,"0,00%","1,41%",0,2411000,0,"-6,10%"
MTRE3,15.48,80.81,1.7,5.231,"0,00%",1.313,1.74,44.72,1.97,22.3,21.35,"11,70%","6,46%",6.39,"11,04%","2,11%",9020280,960804000,0.08,"0,00%"
GNDI3,66.52,83.46,6.14,4.427,"0,25%",3.009,-477.99,38.63,-10.07,38.69,30.89,"11,46%","5,30%",0.97,"8,82%","7,36%",257419000,6538950000,0.22,"37,51%"
ELCA3,24.7,87.73,14.48,4.706,"0,00%",2.606,34.54,31.99,-5.58,36.27,26.08,"14,71%","7,42%",1.35,"9,45%","16,50%",0,3600850000,2.46,"9,69%"
IDNT3,3.61,90.86,16.69,0,"0,00%",4.498,0,-38.57,0,-38.37,-38.39,"0,00%","0,00%",0,"0,00%","18,37%",475605,16972000,0,"-97,74%"
UNIP6,23.75,92.92,1.68,0.755,"1,82%",0.591,6.87,7.56,-1.93,8.48,5.27,"9,98%","0,71%",1.34,"9,40%","1,81%",4007000,1382490000,0.55,"40,15%"
GFSA3,5.6,93.99,0.76,1.784,"0,00%",0.267,0.93,11.6,5.48,17.59,14.58,"15,37%","1,87%",1.7,"2,82%","0,81%",34055300,881508000,0.81,"-27,72%"
UGPA4,27.1,100.47,3.31,0.336,"0,00%",0.915,3.12,17.6,-3.6,25,14.92,"1,91%","0,37%",2.78,"6,96%","3,30%",0,9116680000,2.05,"4,71%"
PQUN3,15.44,104.31,1.88,0.545,"0,00%",0.523,7.57,19.5,-0.97,40.25,40.25,"2,80%","0,52%",1.61,"3,02%","1,81%",0,858692000,2.28,"5,19%"
PQUN4,15.44,104.31,1.88,0.545,"0,00%",0.523,7.57,19.5,-0.97,40.25,40.25,"2,80%","0,52%",1.61,"3,02%","1,81%",0,858692000,2.28,"5,19%"
RDNI3,9.69,104.72,0.7,1.43,"0,09%",0.287,1.26,28.97,-1.47,53.97,40.99,"4,93%","1,73%",2.43,"1,04%","0,66%",244398,609221000,0.68,"-15,40%"
CASN3,18,107.55,10.24,11.451,"0,23%",3.617,98.61,46.38,-7.28,50.35,37.66,"24,69%","10,65%",1.32,"8,37%","9,52%",0,1257040000,1.03,"8,94%"
TMAR6,42.01,112.59,0.71,0.519,"0,00%",0.181,1.49,4.04,-0.5,8.29,3.21,"12,84%","-0,42%",1.62,"5,78%","0,63%",0,20448500000,1.38,"14,80%"
UNIP5,29,113.46,2.05,0.921,"2,46%",0.722,8.39,9.23,-2.35,10.15,6.31,"9,98%","0,71%",1.34,"9,40%","1,81%",26577.7,1382490000,0.55,"40,15%"
TMAR5,42.67,114.35,0.72,0.527,"0,00%",0.184,1.51,4.1,-0.51,8.35,3.24,"12,84%","-0,42%",1.62,"5,78%","0,63%",0,20448500000,1.38,"14,80%"
FLCL6,9.91,115.65,61.25,11.283,"0,00%",11.168,143.05,64.97,-27.75,67.11,67.11,"17,37%","9,76%",1.23,"22,91%","52,97%",0,72920000,2.96,"-29,63%"
UNIP3,29.61,115.84,2.1,0.941,"1,33%",0.737,8.57,9.42,-2.4,10.34,6.43,"9,98%","0,71%",1.34,"9,40%","1,81%",100231,1382490000,0.55,"40,15%"
MRFG3,12.55,116.19,-8.67,0.171,"0,00%",0.256,4.73,2.12,-0.44,6.87,5.33,"8,06%","2,70%",1.15,"17,12%","-7,46%",189805000,-1030020000,-26.74,"32,63%"
NETC3,38.5,123.1,2.12,1.29,"0,00%",1.074,-33.02,10.82,-2.96,12.15,5.27,"11,93%","1,55%",0.8,"10,95%","1,72%",0,6812390000,0.28,"66,63%"
AALR3,10.2,123.96,0.96,1.153,"0,85%",0.46,-85.25,13.21,-1.71,19.43,8.44,"8,72%","1,77%",0.98,"3,95%","0,77%",9440020,1262910000,0.65,"0,87%"
NETC4,40,127.89,2.2,1.34,"0,00%",1.116,-34.31,11.24,-3.08,12.57,5.45,"11,93%","1,55%",0.8,"10,95%","1,72%",0,6812390000,0.28,"66,63%"
FLCL3,11.5,134.2,71.08,13.094,"0,00%",12.959,166,75.4,-32.21,77.54,77.54,"17,37%","9,76%",1.23,"22,91%","52,97%",0,72920000,2.96,"-29,63%"
MGLU3,69.35,137.32,14.97,5.419,"0,15%",6.362,24.09,149.08,276.27,146.74,84.43,"3,64%","3,95%",1.79,"6,90%","10,90%",885272000,7528060000,0.11,"24,12%"
ROMI4,185,139.82,14.64,14.344,"0,00%",7.543,32.26,238.18,88.36,244.03,144.12,"6,02%","10,29%",1.7,"3,80%","10,47%",0,794408000,0.57,"7,72%"
FLCL5,12.5,145.87,77.26,14.232,"0,00%",14.086,180.44,81.95,-35.01,84.09,84.09,"17,37%","9,76%",1.23,"22,91%","52,97%",0,72920000,2.96,"-29,63%"
GUAR4,151,146.13,14.54,9.651,"0,00%",6.302,26.81,140.1,910.25,143.04,73.36,"6,89%","6,60%",1.69,"5,33%","9,95%",0,5184230000,0.56,"8,98%"
BIDI3,12.8,158.94,4.21,0,"0,46%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","2,65%",5787380,2147950000,0,"18,94%"
TMAR3,62,166.16,1.04,0.765,"0,00%",0.268,2.2,5.96,-0.74,10.21,3.96,"12,84%","-0,42%",1.62,"5,78%","0,63%",0,20448500000,1.38,"14,80%"
BIDI11,40.88,169.21,4.48,0,"0,44%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","2,65%",27584800,2147950000,0,"18,94%"
STBP11,14.4,172.11,1.44,1.99,"0,00%",0.603,6.44,32.75,-1.47,33.82,10.11,"6,08%","1,16%",2.22,"2,13%","0,84%",0,1339860000,0.33,"3,24%"
BIDI4,13.9,172.6,4.57,0,"0,43%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","2,65%",28947800,2147950000,0,"18,94%"
PEAB3,51,179.6,1.28,5.325,"7,11%",0.992,3.39,93.08,5.46,71.41,71.41,"5,72%","2,75%",3.7,"1,46%","0,71%",2875.95,513790000,0,"-14,08%"
PEAB4,60,211.29,1.5,6.265,"6,65%",1.167,3.98,109.5,6.43,87.84,87.84,"5,72%","2,75%",3.7,"1,46%","0,71%",0,513790000,0,"-14,08%"
VALE5,33.36,239.88,0.99,1.184,"0,00%",0.401,4.05,2.86,-1.08,3.45,2.76,"41,37%","-1,02%",1.72,"16,98%","0,41%",0,178854000000,0.55,"14,38%"
NATU3,36.86,240.05,6.71,2.443,"0,35%",1.501,14.37,28.44,-3.37,34.39,34.39,"8,59%","1,02%",1.46,"6,69%","2,79%",0,4757910000,1.92,"16,57%"
PRBC4,14.54,250.07,39.26,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","15,70%",0,1206400000,0,"13,14%"
ELEV3,24.3,312.39,3.22,0.688,"0,00%",0.954,5.75,37.19,-5.18,51.41,51.41,"1,85%","0,27%",1.47,"3,01%","1,03%",0,489356000,1.35,"3,69%"
STBP3,5.55,331.67,2.77,3.836,"0,32%",1.162,12.41,63.1,-2.83,64.18,19.18,"6,08%","1,16%",2.22,"2,13%","0,84%",23675400,1339860000,0.33,"3,24%"
LINX3,23.97,359.13,2.6,5.538,"0,47%",1.812,6.89,30.81,16.08,27.9,14.74,"17,97%","1,54%",2.72,"8,44%","0,72%",52417300,1745060000,0.18,"15,78%"
LWSA3,41.5,361.39,8.19,12.805,"0,00%",4.783,10.91,138.17,17.3,128.6,52.12,"9,27%","3,54%",2.73,"7,32%","2,27%",34672800,634479000,0.31,"0,00%"
RHDS4,1,363.45,29.5,4.977,"0,00%",7.182,-593.56,68.11,-24.55,71.32,53.72,"7,31%","1,17%",0.97,"11,80%","8,12%",0,272045000,1.49,"4,38%"
VALE3,55.62,399.95,1.64,1.973,"2,54%",0.668,6.76,4.77,-1.8,5.36,4.29,"41,37%","-1,02%",1.72,"16,98%","0,41%",1504280000,178854000000,0.55,"14,38%"
UBBR4,7.49,610.27,1.99,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","0,33%",0,10317200000,0,"10,58%"
UBBR11,14.75,1201.81,3.91,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","0,33%",0,10317200000,0,"10,58%"
UBBR3,18,1466.61,4.77,0,"0,00%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","0,33%",0,10317200000,0,"10,58%"
CEPE6,20,1545.85,0.9,-18.326,"3,46%",0.167,-9.71,71.38,-0.33,309.99,256.58,"-25,67%","-1,19%",0.95,"0,27%","0,06%",418.61,1667000000,3.36,"8,63%"
CEPE3,24.53,1895.99,1.1,-22.477,"0,00%",0.204,-11.91,87.55,-0.41,326.16,269.96,"-25,67%","-1,19%",0.95,"0,27%","0,06%",0,1667000000,3.36,"8,63%"
BRAP3,32.63,2013.54,1.08,0,"2,23%",1.029,0,-650.2,0,-651.67,-651.67,"0,00%","0,00%",0,"0,00%","0,05%",1080600,10522400000,0,"0,00%"
CEPE5,27,2086.9,1.21,-24.74,"2,33%",0.225,-13.11,96.37,-0.45,334.98,277.26,"-25,67%","-1,19%",0.95,"0,27%","0,06%",5260.81,1667000000,3.36,"8,63%"
BRAP4,36.43,2248.03,1.2,0,"2,19%",1.149,0,-725.92,0,-727.39,-727.39,"0,00%","0,00%",0,"0,00%","0,05%",91578500,10522400000,0,"0,00%"
